Data,Fajr,Sunrise,Zuhr,Asr,Maghrib,Isha,City Name
"1 gennaio 2024, lunedì",6:07,7:37,12:23,14:39,16:45,18:15,ascoli-piceno
"2 gennaio 2024, martedì",6:07,7:37,12:24,14:40,16:46,18:16,ascoli-piceno
"3 gennaio 2024, mercoledì",6:07,7:37,12:24,14:40,16:47,18:17,ascoli-piceno
"4 gennaio 2024, giovedì",6:07,7:37,12:25,14:41,16:48,18:18,ascoli-piceno
"5 gennaio 2024, venerdì",6:07,7:37,12:25,14:42,16:49,18:19,ascoli-piceno
"6 gennaio 2024, sabato",6:07,7:37,12:26,14:43,16:50,18:20,ascoli-piceno
"7 gennaio 2024, domenica",6:07,7:37,12:26,14:43,16:51,18:21,ascoli-piceno
"8 gennaio 2024, lunedì",6:07,7:37,12:27,14:44,16:52,18:22,ascoli-piceno
"9 gennaio 2024, martedì",6:06,7:36,12:26,14:44,16:53,18:23,ascoli-piceno
"10 gennaio 2024, mercoledì",6:06,7:36,12:27,14:45,16:54,18:24,ascoli-piceno
"11 gennaio 2024, giovedì",6:06,7:36,12:28,14:46,16:55,18:25,ascoli-piceno
"12 gennaio 2024, venerdì",6:05,7:35,12:27,14:46,16:56,18:26,ascoli-piceno
"13 gennaio 2024, sabato",6:05,7:35,12:28,14:47,16:58,18:28,ascoli-piceno
"14 gennaio 2024, domenica",6:05,7:35,12:29,14:48,16:59,18:29,ascoli-piceno
"15 gennaio 2024, lunedì",6:04,7:34,12:29,14:49,17:00,18:30,ascoli-piceno
"16 gennaio 2024, martedì",6:04,7:34,12:30,14:50,17:01,18:31,ascoli-piceno
"17 gennaio 2024, mercoledì",6:03,7:33,12:29,14:50,17:02,18:32,ascoli-piceno
"18 gennaio 2024, giovedì",6:03,7:33,12:30,14:51,17:03,18:33,ascoli-piceno
"19 gennaio 2024, venerdì",6:02,7:32,12:30,14:52,17:05,18:35,ascoli-piceno
"20 gennaio 2024, sabato",6:02,7:32,12:31,14:53,17:06,18:36,ascoli-piceno
"21 gennaio 2024, domenica",6:01,7:31,12:31,14:54,17:07,18:37,ascoli-piceno
"22 gennaio 2024, lunedì",6:00,7:30,12:31,14:54,17:08,18:38,ascoli-piceno
"23 gennaio 2024, martedì",5:59,7:29,12:31,14:55,17:10,18:40,ascoli-piceno
"24 gennaio 2024, mercoledì",5:59,7:29,12:32,14:56,17:11,18:41,ascoli-piceno
"25 gennaio 2024, giovedì",5:58,7:28,12:32,14:57,17:12,18:42,ascoli-piceno
"26 gennaio 2024, venerdì",5:57,7:27,12:32,14:57,17:14,18:44,ascoli-piceno
"27 gennaio 2024, sabato",5:56,7:26,12:32,14:58,17:15,18:45,ascoli-piceno
"28 gennaio 2024, domenica",5:55,7:25,12:32,14:58,17:16,18:46,ascoli-piceno
"29 gennaio 2024, lunedì",5:54,7:24,12:33,15:00,17:18,18:48,ascoli-piceno
"30 gennaio 2024, martedì",5:53,7:23,12:33,15:00,17:19,18:49,ascoli-piceno
"31 gennaio 2024, mercoledì",5:52,7:22,12:33,15:01,17:20,18:50,ascoli-piceno
