Data,Fajr,Sunrise,Zuhr,Asr,Maghrib,Isha,City Name
"1 gennaio 2025, mercoledì",6:07:00,7:37:00,12:24:00,14:40:00,16:46:00,18:16:00,ascoli-piceno
"2 gennaio 2025, giovedì",6:07:00,7:37:00,12:24:30,14:40:45,16:47:00,18:17:00,ascoli-piceno
"3 gennaio 2025, venerdì",6:07:00,7:37:00,12:24:30,14:40:45,16:48:00,18:18:00,ascoli-piceno
"4 gennaio 2025, sabato",6:07:00,7:37:00,12:25:00,14:41:30,16:49:00,18:19:00,ascoli-piceno
"5 gennaio 2025, domenica",6:07:00,7:37:00,12:26:00,14:43:00,16:50:00,18:20:00,ascoli-piceno
"6 gennaio 2025, lunedì",6:07:00,7:37:00,12:26:30,14:43:45,16:51:00,18:21:00,ascoli-piceno
"7 gennaio 2025, martedì",6:07:00,7:37:00,12:27:00,14:44:30,16:52:00,18:22:00,ascoli-piceno
"8 gennaio 2025, mercoledì",6:06:00,7:36:00,12:26:30,14:44:15,16:53:00,18:23:00,ascoli-piceno
"9 gennaio 2025, giovedì",6:06:00,7:36:00,12:27:00,14:45:00,16:54:00,18:24:00,ascoli-piceno
"10 gennaio 2025, venerdì",6:06:00,7:36:00,12:28:00,14:46:30,16:55:00,18:25:00,ascoli-piceno
"11 gennaio 2025, sabato",6:06:00,7:36:00,12:28:30,14:47:15,16:56:00,18:26:00,ascoli-piceno
"12 gennaio 2025, domenica",6:05:00,7:35:00,12:28:30,14:47:45,16:57:00,18:27:00,ascoli-piceno
"13 gennaio 2025, lunedì",6:05:00,7:35:00,12:29:00,14:48:30,16:58:00,18:28:00,ascoli-piceno
"14 gennaio 2025, martedì",6:04:00,7:34:00,12:29:00,14:49:00,17:00:00,18:30:00,ascoli-piceno
"15 gennaio 2025, mercoledì",6:04:00,7:34:00,12:29:30,14:49:45,17:01:00,18:31:00,ascoli-piceno
"16 gennaio 2025, giovedì",6:03:00,7:33:00,12:29:30,14:50:15,17:02:00,18:32:00,ascoli-piceno
